食品群,食品番号,索引番号,食品名　100gあたり栄養素,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,食塩相当量 g
01,01001,0001,アマランサス　玄穀,343,12.7,6.0,64.9,0
01,01002,0002,あわ　精白粒,346,11.2,4.4,69.7,0
01,01003,0003,あわ　あわもち,210,5.1,1.3,45.3,0
01,01004,0004,えんばく　オートミール,350,13.7,5.7,69.1,0
01,01005,0005,おおむぎ　七分つき押麦,343,10.9,2.1,72.1,0
01,01006,0006,おおむぎ　押麦　乾,329,6.7,1.5,78.3,0
01,01170,0007,おおむぎ　押麦　めし,118,2.2,0.5,28.5,0
01,01007,0008,おおむぎ　米粒麦,333,7.0,2.1,76.2,0
01,01008,0009,おおむぎ　大麦めん　乾,343,12.9,1.7,68.0,2.8
01,01009,0010,おおむぎ　大麦めん　ゆで,121,4.8,0.6,24.3,0.2
01,01010,0011,おおむぎ　麦こがし,368,12.5,5.0,77.1,0
01,01167,0012,キヌア　玄穀,344,13.4,3.2,69.0,0.1
01,01011,0013,きび　精白粒,353,11.3,3.3,70.9,0
01,01012,0014,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,72.1,0
01,01013,0015,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,75.2,0
01,01014,0016,こむぎ　［玄穀］　輸入　硬質,332,13.0,3.0,69.4,0
01,01015,0017,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,75.8,0
01,01016,0018,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,74.3,0
01,01018,0019,こむぎ　［小麦粉］　中力粉　1等,337,9.0,1.6,75.1,0
01,01019,0020,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,74.0,0
01,01020,0021,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,71.7,0
01,01021,0022,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,70.6,0
01,01023,0023,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,68.2,0
01,01146,0024,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,73.6,3.7
01,01024,0025,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4.0,74.4,1
